Country,GDP_per_capita
United States,59939
China,8612
Japan,38214
Germany,44680
India,1980
United Kingdom,39532
France,39827
Brazil,9881
Italy,32038
Canada,44841
Russia,10846
"Korea, Republic of",29958
Australia,53831
Spain,28175
Mexico,9224
Indonesia,3837
Turkey,10498
Netherlands,48796
Saudi Arabia,20747
Switzerland,80296
Argentina,14508
Sweden,54075
Poland,13871
Belgium,43325
Thailand,6579
Iran,5628
Austria,47261
Norway,75428
United Arab Emirates,40325
Nigeria,1969
Israel,42852
South Africa,6120
Hong Kong,46733
Ireland,69727
Denmark,57545
Singapore,56746
Malaysia,10118
Colombia,6429
Philippines,2982
Pakistan,1467
Chile,15001
Finland,45778
Bangladesh,1564
Egypt,2441
Vietnam,2366
Portugal,21316
Czech Republic (Czechia),20291
Romania,10781
Peru,6723
New Zealand,43415
Greece,19214
Iraq,5114
Algeria,4048
Qatar,61264
Kazakhstan,9009
Hungary,14364
Angola,4096
Kuwait,29616
Sudan,2879
Ukraine,2521
Morocco,3083
Ecuador,6214
Cuba,8541
Slovakia,17551
Sri Lanka,4135
Ethiopia,757
Kenya,1578
Dominican Republic,7223
Guatemala,4471
Oman,15170
Myanmar,1256
Luxembourg,105280
Panama,15166
Ghana,2026
Bulgaria,8197
Costa Rica,11573
Uruguay,16341
Croatia,13200
Belarus,5762
Lebanon,7857
"Tanzania, United Rep. of",975
Macao,80890
Uzbekistan,1554
Slovenia,23488
Lithuania,16709
Serbia,4692
Azerbaijan,4139
Jordan,4095
Tunisia,3494
Paraguay,5776
Libya,5791
Turkmenistan,6587
"Congo, Dem. Rep. of the",462
Bolivia,3351
C̫te d'Ivoire,1529
Bahrain,23715
Cameroon,1422
Yemen,1123
Latvia,15613
Estonia,20170
Uganda,631
Zambia,1535
Nepal,900
El Salvador,3883
Iceland,73233
Honduras,2437
Cambodia,1384
Trinidad and Tobago,15952
Cyprus,18695
Zimbabwe,1548
Senegal,1366
Papua New Guinea,2434
Afghanistan,538
Bosnia and Herzegovina,5387
Botswana,7894
Lao People's Dem. Rep.,2424
Mali,828
Georgia,3762
Gabon,7271
Jamaica,5061
State of Palestine,3054
Nicaragua,2164
Mauritius,10491
Namibia,5516
Albania,4521
Mozambique,441
Malta,28585
Burkina Faso,642
Equatorial Guinea,9741
Bahamas,31858
Brunei Darussalam,28572
Armenia,3918
Madagascar,450
Mongolia,3672
North Macedonia,5418
Guinea,868
Chad,657
Benin,827
Rwanda,762
Congo,1703
Haiti,766
Moldova,2002
Niger,376
Kyrgyzstan,1222
Tajikistan,805
Malawi,357
Guam,35665
Fiji,5768
Mauritania,1173
Maldives,9802
Montenegro,7720
Togo,618
Barbados,16328
Eswatini,3942
Sierra Leone,504
Guyana,4671
Liberia,699
Burundi,293
Andorra,39128
Suriname,5251
Timor-Leste,2377
Aruba,25630
Lesotho,1233
Bhutan,3391
Central African Republic,424
Belize,4957
Cabo Verde,3298
Saint Lucia,9602
San Marino,48495
Northern Mariana Islands,28164
Antigua and Barbuda,15825
Seychelles,15536
Gambia,673
Guinea-Bissau,737
Solomon Islands,2049
Grenada,10164
Comoros,1312
Saint Kitts & Nevis,19061
Vanuatu,3022
Samoa,4305
St. Vincent & Grenadines,7150
American Samoa,11399
Dominica,6951
Tonga,4193
Sao Tome & Principe,1896
Micronesia,631
Palau,16275
Marshall Islands,3517
Kiribati,1626
Tuvalu,3494
