Country,Year,LPI Rank,LPI Score,Customs,Customs,Infrastructure,Infrastructure,International shipments,International shipments,Logistics competence,Logistics competence,Tracking & tracing,Tracking & tracing,Timeliness,Timeliness
Germany,2018,1,4.2,1,4.09,1,4.37,4,3.86,1,4.31,2,4.24,3,4.39
Sweden,2018,2,4.05,2,4.05,3,4.24,2,3.92,10,3.98,17,3.88,7,4.28
Belgium,2018,3,4.04,14,3.66,14,3.98,1,3.99,2,4.13,9,4.05,1,4.41
Austria,2018,4,4.03,12,3.71,5,4.18,3,3.88,6,4.08,7,4.09,12,4.25
Japan,2018,5,4.03,3,3.99,2,4.25,14,3.59,4,4.09,10,4.05,10,4.25
Netherlands,2018,6,4.02,5,3.92,4,4.21,11,3.68,5,4.09,11,4.02,11,4.25
Singapore,2018,7,4,6,3.89,6,4.06,15,3.58,3,4.1,8,4.08,6,4.32
Denmark,2018,8,3.99,4,3.92,17,3.96,19,3.53,9,4.01,3,4.18,2,4.41
United Kingdom,2018,9,3.99,11,3.77,8,4.03,13,3.67,7,4.05,4,4.11,5,4.33
Finland,2018,10,3.97,8,3.82,11,4,16,3.56,15,3.89,1,4.32,8,4.28
United Arab Emirates,2018,11,3.96,15,3.63,10,4.02,5,3.85,13,3.92,13,3.96,4,4.38
"Hong Kong, China",2018,12,3.92,9,3.81,15,3.97,8,3.77,12,3.93,15,3.92,15,4.14
Switzerland,2018,13,3.9,16,3.63,9,4.02,20,3.51,11,3.97,5,4.1,13,4.24
United States,2018,14,3.89,10,3.78,7,4.05,23,3.51,16,3.87,6,4.09,19,4.08
New Zealand,2018,15,3.88,13,3.71,13,3.99,27,3.43,8,4.02,16,3.92,9,4.26
France,2018,16,3.84,19,3.59,12,4,17,3.55,17,3.84,12,4,14,4.15
Spain,2018,17,3.83,17,3.62,19,3.84,6,3.83,18,3.8,19,3.83,20,4.06
Australia,2018,18,3.75,7,3.87,16,3.97,40,3.25,21,3.71,20,3.82,21,3.98
Italy,2018,19,3.74,23,3.47,18,3.85,21,3.51,24,3.66,18,3.85,17,4.13
Canada,2018,20,3.73,18,3.6,21,3.75,30,3.38,14,3.9,21,3.81,22,3.96
Norway,2018,21,3.7,21,3.52,24,3.69,26,3.43,23,3.69,14,3.94,24,3.94
Czech Republic,2018,22,3.68,30,3.29,26,3.46,10,3.75,20,3.72,24,3.7,16,4.13
Portugal,2018,23,3.64,35,3.17,32,3.25,7,3.83,22,3.71,23,3.72,18,4.13
Luxembourg,2018,24,3.63,20,3.53,25,3.63,31,3.37,19,3.76,29,3.61,26,3.9
"Korea, Republic of",2018,25,3.61,25,3.4,22,3.73,33,3.33,28,3.59,22,3.75,25,3.92
China,2018,26,3.61,31,3.29,20,3.75,18,3.54,27,3.59,27,3.65,27,3.84
Taiwan,2018,27,3.6,22,3.47,23,3.72,24,3.48,30,3.57,25,3.67,35,3.72
Poland,2018,28,3.54,33,3.25,35,3.21,12,3.68,29,3.58,31,3.51,23,3.95
Ireland,2018,29,3.51,26,3.36,29,3.29,28,3.42,26,3.6,28,3.62,33,3.76
Qatar,2018,30,3.47,38,3,27,3.38,9,3.75,31,3.42,30,3.56,36,3.7
Hungary,2018,31,3.42,27,3.35,30,3.27,43,3.22,38,3.21,26,3.67,32,3.79
Thailand,2018,32,3.41,36,3.14,41,3.14,25,3.46,32,3.41,33,3.47,28,3.81
South Africa,2018,33,3.38,34,3.17,36,3.19,22,3.51,39,3.19,35,3.41,34,3.74
Chile,2018,34,3.32,32,3.27,34,3.21,38,3.27,43,3.13,44,3.2,31,3.8
Slovenia,2018,35,3.31,24,3.42,31,3.26,47,3.19,50,3.05,40,3.27,38,3.7
Estonia,2018,36,3.31,28,3.32,44,3.1,39,3.26,40,3.15,43,3.21,30,3.8
Israel,2018,37,3.31,29,3.32,28,3.33,75,2.78,34,3.39,32,3.5,48,3.59
Panama,2018,38,3.28,45,2.87,42,3.13,34,3.31,35,3.33,36,3.4,46,3.6
Vietnam,2018,39,3.27,41,2.95,47,3.01,49,3.16,33,3.4,34,3.45,40,3.67
Iceland,2018,40,3.23,54,2.77,37,3.19,72,2.79,25,3.61,37,3.35,37,3.7
Malaysia,2018,41,3.22,43,2.9,40,3.15,32,3.35,36,3.3,47,3.15,53,3.46
Greece,2018,42,3.2,47,2.84,38,3.17,35,3.3,48,3.06,45,3.18,42,3.66
Oman,2018,43,3.2,44,2.87,39,3.16,36,3.3,49,3.05,66,2.97,29,3.8
India,2018,44,3.18,40,2.96,52,2.91,44,3.21,42,3.13,38,3.32,52,3.5
Cyprus,2018,45,3.15,37,3.05,55,2.89,50,3.15,53,3,48,3.15,45,3.62
Indonesia,2018,46,3.15,62,2.67,54,2.89,42,3.23,44,3.1,39,3.3,41,3.67
Turkey,2018,47,3.15,58,2.71,33,3.21,53,3.06,51,3.05,42,3.23,44,3.63
Romania,2018,48,3.12,80,2.58,51,2.91,48,3.18,47,3.07,41,3.26,39,3.68
Croatia,2018,49,3.1,39,2.98,46,3.01,58,2.93,45,3.1,61,3.01,47,3.59
Côte d'Ivoire,2018,50,3.08,51,2.78,56,2.89,45,3.21,37,3.23,49,3.14,71,3.23
Mexico,2018,51,3.05,53,2.77,57,2.85,51,3.1,52,3.02,62,3,49,3.53
Bulgaria,2018,52,3.03,42,2.94,64,2.76,41,3.23,55,2.88,59,3.02,65,3.31
Slovak Republic,2018,53,3.03,50,2.79,48,3,52,3.1,41,3.14,64,2.99,86,3.14
Lithuania,2018,54,3.02,46,2.85,66,2.73,74,2.79,54,2.96,50,3.12,43,3.65
Saudi Arabia,2018,55,3.01,66,2.66,43,3.11,56,2.99,57,2.86,46,3.17,67,3.3
Brazil,2018,56,2.99,102,2.41,50,2.93,61,2.88,46,3.09,51,3.11,51,3.51
Rwanda,2018,57,2.97,64,2.67,65,2.76,29,3.39,60,2.85,86,2.75,61,3.35
Colombia,2018,58,2.94,75,2.61,72,2.67,46,3.19,56,2.87,53,3.08,81,3.17
Bahrain,2018,59,2.93,63,2.67,68,2.72,55,3.02,58,2.86,60,3.01,68,3.29
Philippines,2018,60,2.9,85,2.53,67,2.73,37,3.29,69,2.78,57,3.06,100,2.98
Argentina,2018,61,2.89,98,2.42,62,2.77,59,2.92,68,2.78,58,3.05,58,3.37
Ecuador,2018,62,2.88,48,2.8,69,2.72,80,2.75,70,2.75,55,3.07,75,3.19
Kuwait,2018,63,2.86,56,2.73,45,3.02,98,2.63,67,2.8,96,2.66,59,3.37
"Iran, Islamic Rep.",2018,64,2.85,71,2.62,63,2.77,79,2.76,62,2.84,85,2.77,60,3.36
Serbia,2018,65,2.84,78,2.6,74,2.6,57,2.97,80,2.7,76,2.79,62,3.33
Ukraine,2018,66,2.83,89,2.49,119,2.22,68,2.83,61,2.84,52,3.11,56,3.42
Egypt,2018,67,2.82,77,2.6,58,2.82,73,2.79,63,2.82,89,2.72,74,3.19
Kenya,2018,68,2.81,67,2.65,79,2.55,99,2.62,64,2.81,56,3.07,79,3.18
Malta,2018,69,2.81,60,2.7,53,2.9,89,2.7,66,2.8,75,2.8,98,3.01
Latvia,2018,70,2.81,49,2.8,49,2.98,81,2.74,81,2.69,77,2.79,113,2.88
Kazakhstan,2018,71,2.81,65,2.66,81,2.55,84,2.73,90,2.58,83,2.78,50,3.53
Bosnia and Herzegovina,2018,72,2.81,69,2.63,97,2.42,66,2.84,65,2.8,70,2.89,72,3.21
Costa Rica,2018,73,2.79,70,2.63,84,2.49,76,2.78,79,2.7,67,2.96,83,3.16
Paraguay,2018,74,2.78,68,2.64,80,2.55,91,2.69,76,2.72,101,2.61,55,3.45
Russian Federation,2018,75,2.76,97,2.42,61,2.78,96,2.64,71,2.75,97,2.65,66,3.31
Benin,2018,76,2.75,82,2.56,83,2.5,83,2.73,98,2.5,87,2.75,57,3.42
Montenegro,2018,77,2.75,83,2.56,75,2.57,92,2.68,74,2.72,105,2.58,63,3.33
Mauritius,2018,78,2.73,59,2.7,59,2.8,151,2.12,59,2.86,63,3,99,3
Lebanon,2018,79,2.72,106,2.38,73,2.64,70,2.8,104,2.47,74,2.8,77,3.18
Brunei Darussalam,2018,80,2.71,73,2.62,89,2.46,113,2.51,77,2.71,88,2.75,80,3.17
"Macedonia, FYR",2018,81,2.7,91,2.45,87,2.47,67,2.84,72,2.74,100,2.64,96,3.03
Lao People's Dem. Rep.,2018,82,2.7,74,2.61,91,2.44,85,2.72,83,2.65,69,2.91,117,2.84
Peru,2018,83,2.69,86,2.53,111,2.28,65,2.84,110,2.42,108,2.55,54,3.45
Jordan,2018,84,2.69,88,2.49,70,2.72,119,2.44,93,2.55,84,2.77,76,3.18
Uruguay,2018,85,2.69,87,2.51,94,2.43,82,2.73,78,2.71,82,2.78,109,2.91
Maldives,2018,86,2.67,105,2.4,71,2.72,94,2.66,125,2.29,104,2.6,64,3.32
Dominican Republic,2018,87,2.66,103,2.41,105,2.36,77,2.77,108,2.44,65,2.97,101,2.98
Albania,2018,88,2.66,114,2.35,110,2.29,69,2.82,92,2.56,95,2.67,73,3.2
SÃ£o TomÃ© and PrÃ­ncipe,2018,89,2.65,57,2.71,106,2.33,121,2.42,84,2.65,81,2.78,97,3.01
Djibouti,2018,90,2.63,113,2.35,60,2.79,118,2.45,135,2.25,72,2.85,85,3.15
Burkina Faso,2018,91,2.62,100,2.41,95,2.43,60,2.92,106,2.46,124,2.4,95,3.04
Armenia,2018,92,2.61,81,2.57,86,2.48,95,2.65,97,2.5,113,2.51,111,2.9
Honduras,2018,93,2.6,125,2.24,88,2.47,93,2.66,75,2.72,93,2.68,118,2.83
Sri Lanka,2018,94,2.6,79,2.58,85,2.49,112,2.51,109,2.42,78,2.79,122,2.79
Cameroon,2018,95,2.6,90,2.46,76,2.57,63,2.87,87,2.6,118,2.47,142,2.57
Mali,2018,96,2.59,133,2.15,109,2.3,88,2.7,107,2.45,54,3.08,119,2.83
Malawi,2018,97,2.59,94,2.43,126,2.18,105,2.55,82,2.68,94,2.67,102,2.97
Cambodia,2018,98,2.58,109,2.37,130,2.14,71,2.79,111,2.41,111,2.52,84,3.16
Uzbekistan,2018,99,2.58,140,2.1,77,2.57,120,2.42,88,2.59,90,2.71,91,3.09
Bangladesh,2018,100,2.58,121,2.3,100,2.39,104,2.56,102,2.48,79,2.79,107,2.92
El Salvador,2018,101,2.58,120,2.3,114,2.25,86,2.71,91,2.56,117,2.47,90,3.1
Uganda,2018,102,2.58,76,2.61,124,2.19,78,2.76,99,2.5,123,2.41,110,2.9
Belarus,2018,103,2.57,112,2.35,92,2.44,134,2.31,85,2.64,109,2.54,78,3.18
Solomon Islands,2018,104,2.57,52,2.77,120,2.21,142,2.2,73,2.73,126,2.37,87,3.12
Tunisia,2018,105,2.57,107,2.38,133,2.1,115,2.5,123,2.3,71,2.86,70,3.24
Ghana,2018,106,2.57,92,2.45,90,2.44,109,2.53,95,2.51,106,2.57,115,2.87
Comoros,2018,107,2.56,72,2.62,113,2.25,116,2.49,138,2.21,68,2.93,120,2.8
Kyrgyz Republic,2018,108,2.55,55,2.75,103,2.38,138,2.22,114,2.36,99,2.64,106,2.94
Morocco,2018,109,2.54,115,2.33,93,2.43,103,2.58,101,2.49,112,2.51,114,2.88
Nigeria,2018,110,2.53,147,1.97,78,2.56,110,2.52,112,2.4,92,2.68,92,3.07
Zambia,2018,111,2.53,129,2.18,108,2.3,54,3.05,103,2.48,158,1.98,94,3.05
"Bahamas, The",2018,112,2.53,61,2.68,98,2.41,114,2.5,130,2.27,110,2.52,125,2.75
Jamaica,2018,113,2.52,99,2.42,107,2.32,107,2.53,94,2.54,116,2.48,121,2.79
Nepal,2018,114,2.51,122,2.29,123,2.19,129,2.36,105,2.46,98,2.65,89,3.1
Congo,2018,115,2.49,123,2.27,138,2.07,64,2.87,127,2.28,125,2.38,103,2.95
Moldova,2018,116,2.46,124,2.25,141,2.02,90,2.69,122,2.3,142,2.21,82,3.17
Algeria,2018,117,2.45,138,2.13,96,2.42,122,2.39,113,2.39,103,2.6,124,2.76
Togo,2018,118,2.45,119,2.31,116,2.23,111,2.52,134,2.25,120,2.45,112,2.88
Georgia,2018,119,2.44,95,2.42,102,2.38,124,2.38,132,2.26,139,2.26,105,2.95
"Congo, Dem. Rep. of the",2018,120,2.43,108,2.37,132,2.12,127,2.37,100,2.49,114,2.51,133,2.69
Sudan,2018,121,2.43,136,2.14,125,2.18,102,2.58,96,2.51,115,2.51,139,2.62
Pakistan,2018,122,2.42,139,2.12,121,2.2,97,2.63,89,2.59,136,2.27,136,2.66
Chad,2018,123,2.42,134,2.15,104,2.37,125,2.37,86,2.62,127,2.37,138,2.62
Trinidad and Tobago,2018,124,2.42,96,2.42,101,2.38,101,2.59,129,2.27,135,2.27,144,2.53
Guatemala,2018,125,2.41,132,2.16,122,2.2,130,2.33,136,2.25,122,2.42,88,3.11
Turkmenistan,2018,126,2.41,111,2.35,117,2.23,136,2.29,120,2.31,107,2.56,130,2.72
Gambia,2018,127,2.4,141,2.08,155,1.82,87,2.71,142,2.21,73,2.81,131,2.71
Madagascar,2018,128,2.39,118,2.32,128,2.16,146,2.19,118,2.33,102,2.61,128,2.73
Guinea-Bissau,2018,129,2.39,144,2.01,159,1.78,108,2.53,126,2.28,80,2.78,116,2.86
Mongolia,2018,130,2.37,127,2.22,135,2.1,117,2.49,140,2.21,152,2.1,93,3.06
Bolivia,2018,131,2.36,117,2.32,129,2.15,106,2.54,139,2.21,148,2.13,127,2.74
Guyana,2018,132,2.36,84,2.55,137,2.09,148,2.17,137,2.24,121,2.44,137,2.65
Fiji,2018,133,2.35,101,2.41,99,2.4,149,2.16,119,2.31,132,2.31,143,2.54
Tajikistan,2018,134,2.34,150,1.92,127,2.17,133,2.31,116,2.33,131,2.33,104,2.95
Mauritania,2018,135,2.33,128,2.2,112,2.26,145,2.19,144,2.19,119,2.47,134,2.68
Equatorial Guinea,2018,136,2.32,151,1.91,151,1.88,62,2.88,133,2.25,149,2.12,126,2.75
Myanmar,2018,137,2.3,131,2.17,143,1.99,144,2.2,128,2.28,143,2.2,108,2.91
Syrian Arab Republic,2018,138,2.3,154,1.82,82,2.51,126,2.37,124,2.29,128,2.37,148,2.44
Lesotho,2018,139,2.28,110,2.36,145,1.96,140,2.21,154,2.03,129,2.37,132,2.7
"Yemen, Rep.",2018,140,2.27,104,2.4,131,2.12,141,2.21,131,2.26,146,2.16,151,2.43
Senegal,2018,141,2.25,130,2.17,118,2.22,128,2.36,149,2.11,150,2.11,145,2.52
"Venezuela, RB",2018,142,2.23,156,1.79,134,2.1,123,2.38,141,2.21,133,2.29,141,2.58
Liberia,2018,143,2.23,152,1.91,149,1.91,155,2.08,148,2.14,155,2.05,69,3.25
Somalia,2018,144,2.21,145,2,157,1.81,100,2.61,121,2.3,140,2.23,157,2.2
Guinea,2018,145,2.2,93,2.45,160,1.56,132,2.32,152,2.07,91,2.7,160,2.04
Cuba,2018,146,2.2,143,2.03,139,2.04,137,2.27,143,2.2,147,2.15,147,2.46
Iraq,2018,147,2.18,153,1.84,140,2.03,131,2.32,159,1.91,144,2.19,129,2.72
Papua New Guinea,2018,148,2.17,116,2.32,144,1.97,150,2.15,160,1.88,138,2.26,150,2.44
Bhutan,2018,149,2.17,135,2.14,150,1.91,160,1.8,115,2.35,130,2.35,146,2.49
Gabon,2018,150,2.16,148,1.96,136,2.09,153,2.1,151,2.07,153,2.07,135,2.67
Central African Republic,2018,151,2.15,126,2.24,148,1.93,135,2.3,157,1.93,151,2.1,156,2.33
Zimbabwe,2018,152,2.12,146,2,154,1.83,156,2.06,147,2.16,137,2.26,152,2.39
Haiti,2018,153,2.11,142,2.03,147,1.94,157,2.01,145,2.19,154,2.05,149,2.44
Libya,2018,154,2.11,149,1.95,115,2.25,159,1.99,153,2.05,160,1.64,123,2.77
Eritrea,2018,155,2.09,137,2.13,152,1.86,154,2.09,146,2.17,145,2.17,159,2.08
Sierra Leone,2018,156,2.08,155,1.82,156,1.82,147,2.18,156,2,134,2.27,154,2.34
Niger,2018,157,2.07,157,1.77,142,2,158,2,150,2.1,141,2.22,155,2.33
Burundi,2018,158,2.06,159,1.69,146,1.95,139,2.21,117,2.33,156,2.01,158,2.17
Angola,2018,159,2.05,160,1.57,153,1.86,143,2.2,155,2,157,2,140,2.59
Afghanistan,2018,160,1.95,158,1.73,158,1.81,152,2.1,158,1.92,159,1.7,153,2.38
